timestamp,model_used,seed,generated_text
2026-04-20 11:26:04,latest,love,love oh your sweet smile so good right next to me and all the kingdom lights shined just for show if you live with ghosts you forgive my soul and i
2026-04-20 11:39:29,latest,love,love oh this love oh this love this love is worth the pain mosaic broken hearts but this is the last time i'm asking you why but with you come running
2026-04-20 14:50:04,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_bigram_n2_2026-04-20_14-42.pkl,love,love you as sin saw me you are is me too far as you held back door for you be begging for making music and then healing me out to wrap your face and lyrics and we're made her first met
2026-04-20 14:50:33,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_bigram_n2_2026-04-20_14-42.pkl,love,love is history and artists that i can't have me around and wild tell me have none other day when i never get hurt i serve with you could say yes i fake fake and there's your name everything now youre
2026-04-20 14:53:06,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_bigram_n2_2026-04-20_14-42.pkl,love,love story baby i was a love with you i was a bad blood hey now we've got a lot of me to me up in my man i i was a little while pre i don't know what i i
2026-04-22 11:28:16,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,love,love you you can meet me in a caf i watched you walk away it just gets stronger youre an inconvenient kind of ending you want to i know all i
2026-04-24 08:00:57,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,hate,hate accidents except when we go crashing down we almost never speak i don't want to lose no but i would have gone away no use defending words that you live
2026-04-24 08:02:53,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you wanna make the moves up as kings they fade to nothing when i deserved it she's better known for the best my reputation's never been so happy christmas lights up
2026-04-24 08:04:55,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you gotta be so mean someday i'll be waiting all there's left to do was stay all you have me well it has been finding the ones you can find all
2026-04-24 08:06:25,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you and me we can't have nice things darling darling because you break them i had the time taken up but it wasn't enough it wasn't enough no no you're looking
2026-04-24 08:06:51,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you can see that i've been loving you no i think you were throwing pebbles screaming i'm in exile seein you out on me cause it's late and your mama don't
2026-04-24 08:07:05,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you i can feel you by heart and we held them up chandelier's still flickering here cause i don't know how i hope you think im just another picture to burn
